Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.986519737297946	-73.82269477908733	0.0225	0.0401	0.0181	0.0185	0.0078	0.0059	0.0015	0.0015	agua
4.986518288564691	-73.8218863614734	0.0226	0.0402	0.0176	0.0184	0.0073	0.0061	0.0014	0.0018	agua
4.986516838837537	-73.82107794409737	0.0227	0.0411	0.018	0.0186	0.0073	0.0065	0.0014	0.0021	agua
4.986515388116485	-73.8202695269594	0.0202	0.035	0.0149	0.0147	0.0055	0.0053	0.0014	0.0017	agua
4.986513936401539	-73.81946111005966	0.0171	0.0288	0.0122	0.0119	0.0039	0.0036	0.0013	0.0011	agua
4.986512483692696	-73.8186526933983	0.0169	0.0291	0.0123	0.0124	0.0036	0.0024	0.0014	0.0016	agua
4.985718082614605	-73.82592988604426	0.0223	0.0394	0.0177	0.0178	0.0072	0.006	0.0019	0.0012	agua
4.985716638092044	-73.82512146846729	0.0227	0.0411	0.0186	0.0193	0.0072	0.0063	0.0018	0.0018	agua
4.9857151925757375	-73.82431305112755	0.0232	0.0413	0.0186	0.0192	0.0076	0.0061	0.0017	0.0018	agua
4.985713746065688	-73.82350463402523	0.0236	0.0425	0.0186	0.0196	0.0081	0.0059	0.0016	0.0018	agua
4.9857122985619	-73.82269621716048	0.0227	0.0416	0.0181	0.0194	0.0076	0.006	0.0016	0.0017	agua
4.985710850064372	-73.82188780053349	0.0223	0.0406	0.018	0.0184	0.0071	0.0058	0.0013	0.0017	agua
4.985709400573108	-73.82107938414437	0.022	0.0411	0.0182	0.0185	0.0066	0.0056	0.0013	0.0017	agua
4.985707950088106	-73.82027096799332	0.0219	0.0402	0.0176	0.0173	0.0061	0.0056	0.0012	0.0019	agua
4.985706498609369	-73.8194625520805	0.0177	0.0302	0.0133	0.0138	0.0051	0.0046	0.0015	0.0018	agua
4.985705046136899	-73.81865413640607	0.0205	0.0372	0.0167	0.0171	0.0048	0.0041	0.0017	0.0019	agua
4.984910642917074	-73.82593131993457	0.0215	0.0379	0.0168	0.0172	0.0068	0.0052	0.0018	0.0025	agua
4.984909198629591	-73.82512290334436	0.0225	0.0402	0.0181	0.0183	0.0067	0.0052	0.0019	0.0019	agua
4.9849077533485255	-73.8243144869914	0.0227	0.0412	0.0185	0.0192	0.0073	0.0055	0.0019	0.0019	agua
4.98490630707388	-73.82350607087584	0.0233	0.0425	0.0186	0.0203	0.0084	0.0074	0.0018	0.0018	agua
4.984904859805656	-73.82269765499785	0.023	0.0418	0.0186	0.0195	0.0075	0.0059	0.0018	0.0018	agua
4.984903411543852	-73.82188923935759	0.0222	0.0407	0.0179	0.0182	0.0069	0.0058	0.0013	0.0017	agua
4.984901962288475	-73.82108082395524	0.022	0.0411	0.018	0.018	0.0068	0.0055	0.0014	0.0013	agua
4.9849005120395224	-73.82027240879097	0.022	0.0404	0.0177	0.0181	0.006	0.0047	0.001	0.0021	agua
4.984899060796996	-73.8194639938649	0.0219	0.0403	0.0178	0.0184	0.006	0.0049	0.0015	0.0022	agua
4.98410031410112	-73.82431592261975	0.0226	0.041	0.0185	0.0199	0.0096	0.0068	0.002	0.002	agua
4.984098868061874	-73.82350750749079	0.0227	0.0411	0.0184	0.0195	0.0083	0.0076	0.0017	0.0014	agua
4.9840974210292135	-73.82269909259941	0.0225	0.0418	0.0185	0.0197	0.0075	0.0066	0.0017	0.0018	agua
4.984095973003137	-73.82189067794576	0.0221	0.0412	0.0177	0.019	0.0064	0.0056	0.0011	0.0017	agua
4.9840945239836465	-73.82108226353	0.0221	0.0409	0.0173	0.0184	0.0064	0.0047	0.0013	0.0019	agua
4.984093073970741	-73.8202738493523	0.0218	0.0408	0.0174	0.0183	0.0053	0.0047	0.0017	0.0022	agua
4.984091622964427	-73.81946543541284	0.0222	0.0405	0.018	0.0187	0.006	0.0046	0.0019	0.0022	agua
4.983289982232579	-73.82270052996518	0.0229	0.0417	0.0184	0.0194	0.0076	0.0058	0.0018	0.0016	agua
